stock_item_name,stock_item_code,check
스킨앤스킨,159910,1
NEW,160550,1
이큐셀,160600,1
싸이맥스,160980,1
THE MIDONG,161570,1
필옵틱스,161580,1
핑거,163730,1
이루다,164060,1
하나머티리얼즈,166090,1
코아스템,166480,1
내츄럴엔도텍,168330,1
엠브레인,169330,1
현대공업,170030,1
파이오링크,170790,1
엘티씨,170920,1
램테크놀러지,171010,1
선익시스템,171090,1
라이온켐텍,171120,1
오파스넷,173130,1
에프엔씨엔터,173940,1
장원테크,174880,1
앱클론,174900,1
인포마크,175140,1
아이큐어,175250,1
에이치엔티,176440,1
베셀,177350,1
파버나인,177830,1
서진시스템,178320,1
유테크,178780,1
엠아이텍,179290,1
유티아이,179900,1
캔서롭,180400,1
이즈미디어,181340,1
큐브엔터,182360,1
엔케이맥스,182400,1
테라셈,182690,1
코미코,183300,1
엔지켐생명과학,183490,1
SGA솔루션즈,184230,1
아이진,185490,1
그린플러스,186230,1
디티앤씨,187220,1
신화콘텍,187270,1
제노포커스,187420,1
에이디엠코리아,187660,1
나노,187790,1
디바이스이엔지,187870,1
인텔리안테크,189300,1
씨이랩,189330,1
포시에스,189690,1
서전기전,189860,1
흥국에프엔비,189980,1
나무가,190510,1
코리아에셋투자증권,190650,1
육일씨엔에쓰,191410,1
테고사이언스,191420,1
케이사인,192250,1
윈하이텍,192390,1
THQ,192410,1
슈피겐코리아,192440,1
와이제이엠게임즈,193250,1
데브시스터즈,194480,1
노바렉스,194700,1
마니커에프앤지,195500,1
HK이노엔,195940,1
에이비프로바이오,195990,1
알테오젠,196170,1
애니젠,196300,1
코아시아옵틱스,196450,1
디에이테크놀로지,196490,1
웹스,196700,1
디지캡,197140,1
엔피디,198080,1
고려시멘트,198440,1
제일전기공업,199820,1
콜마비앤에이치,200130,1
텔콘RF제약,200230,1
에이팩트,200470,1
휴메딕스,200670,1
에이디테크놀로지,200710,1
비씨월드제약,200780,1
미투온,201490,1
에이비온,203400,1
유니온커뮤니티,203450,1
드림시큐리티,203650,1
프로스테믹스,203690,1
그리티,204020,1
제이앤티씨,204270,1
글로벌텍스프리,204620,1
스튜디오산타클로스,204630,1
지엘팜텍,204840,1
엑셈,205100,1
휴마시스,205470,1
액션스퀘어,205500,1
베노홀딩스,206400,1
덱스터,206560,1
바디텍메드,206640,1
유바이오로직스,206650,1
미스터블루,207760,1
정다운,208140,1
파멥신,208340,1
지란지교시큐리티,208350,1
셀바스헬스케어,208370,1
썸에이지,208640,1
바이오로그디바이스,208710,1
엔지스테크널러지,208860,1
AP위성,211270,1
네오오토,212560,1
덕산네오룩스,213420,1
클래시스,214150,1
민앤지,214180,1
라파스,214260,1
FSN,214270,1
에스엘바이오닉스,214310,1
케어젠,214370,1
아이쓰리시스템,214430,1
파마리서치,214450,1
미코바이오메드,214610,1
디알텍,214680,1
뉴지랩파마,214870,1
골프존,215000,1
휴센텍,215090,1
로보로보,215100,1
메가스터디교육,215200,1
우리산업,215360,1
우정바이오,215380,1
토박스코리아,215480,1
신라젠,215600,1
이노인스트루먼트,215790,1
인크로스,216050,1
제테마,216080,1
제너셈,217190,1
넵튠,217270,1
싸이토젠,217330,1
에스디생명공학,217480,1
러셀,217500,1
켐온,217600,1
디딤,217620,1
강스템바이오텍,217730,1
엔에스,217820,1
미래생명자원,218150,1
RFHIC,218410,1
타이거일렉,219130,1
링크제니시스,219420,1
디와이디대양,219550,1
지티지웰니스,219750,1
퓨쳐켐,220100,1
핸디소프트,220180,1
켐트로스,220260,1
맘스터치,220630,1
자안바이오,221610,1
하이즈항공,221840,1
케이디켐,221980,1
코스맥스엔비티,222040,1
씨아이에스,222080,1
팬젠,222110,1
쎄노텍,222420,1
심텍,222800,1
마이더스AI,222810,1
한국맥널티,222980,1
드림씨아이에스,223250,1
경남제약헬스케어,223310,1
코디엠,224060,1
에이텍티앤,224110,1
삼양옵틱스,225190,1
제놀루션,225220,1
씨엠에스에듀,225330,1
케이엠제약,225430,1
보광산업,225530,1
넷게임즈,225570,1
패션플랫폼,225590,1
신테카바이오,226330,1
본느,226340,1
KH E&T,226360,1
오스테오닉,226400,1
한송네오텍,226440,1
올릭스,226950,1
에이치앤비디자인,227100,1
아우딘퓨쳐스,227610,1
엔투텍,227950,1
동양파일,228340,1
레이,228670,1
지노믹트리,228760,1
레이언스,228850,1
젠큐릭스,229000,1
에치에프알,230240,1
에코마케팅,230360,1
에이트원,230980,1
와이아이케이,232140,1
라온테크,232680,1
세원,234100,1
에스트래픽,234300,1
세틀뱅크,234340,1
녹십자웰빙,234690,1
자이글,234920,1
메드팩토,235980,1
슈프리마,236200,1
엔비티,236810,1
에스티팜,237690,1
피앤씨테크,237750,1
플레이디,237820,1
클리오,237880,1
앤디포스,238090,1
얼라인드,238120,1
비피도,238200,1
힘스,238490,1
줌인터넷,239340,1
에이치엘사이언스,239610,1
피엔에이치테크,239890,1
원익IPS,240810,1
DSC인베스트먼트,241520,1
유니테크노,241690,1
코스메카코리아,241710,1
메카로,241770,1
오션브릿지,241790,1
