stock_item_name,stock_item_code,check
티웨이항공,091810,1
디아이씨,092200,1
KEC,092220,1
KPX홀딩스,092230,1
기신정기,092440,1
동양피스톤,092780,1
LF,093050,1
이아이디,093230,1
형지엘리트,093240,1
후성,093370,1
효성ITX,094280,1
맵스리얼티1,094800,1
AJ네트웍스,095570,1
웅진씽크빅,095720,1
베트남개발1,096300,1
JW홀딩스,096760,1
SK이노베이션,096770,1
SK이노베이션우,096775,1
한진중공업,097230,1
엠씨넥스,097520,1
CJ제일제당,097950,1
CJ제일제당 우,097955,1
TIGER 방송통신,098560,1
KODEX 차이나H,099140,1
비상교육,100220,1
진양홀딩스,100250,1
SNT에너지,100840,1
KOSEF KRX100,100910,1
SBS미디어홀딩스,101060,1
인바이오젠,101140,1
KODEX 일본TOPIX100,101280,1
해태제과식품,101530,1
TIGER 200,102110,1
동성케미컬,102260,1
쌍방울,102280,1
이연제약,102460,1
KODEX 삼성그룹,102780,1
KODEX 기계장비,102960,1
KODEX 증권,102970,1
풍산,103140,1
일진전기,103590,1
KOSEF 블루칩,104520,1
KOSEF 고배당,104530,1
한국철강,104700,1
TIGER 라틴35,105010,1
KINDEX 200,105190,1
KB금융,105560,1
한세실업,105630,1
KBSTAR 5대그룹주,105780,1
우진,105840,1
미원홀딩스,107590,1
KINDEX 삼성그룹섹터가중,108450,1
TREX 200,108590,1
LX하우시스,108670,1
LX하우시스우,108675,1
컨버즈,109070,1
호전실업,111110,1
영원무역,111770,1
씨에스윈드,112610,1
GKL,114090,1
KBSTAR 국고채3년,114100,1
KODEX 국고채3년,114260,1
KINDEX 국고채3년,114460,1
KOSEF 국고채3년,114470,1
KODEX 인버스,114800,1
TIGER 국채3년,114820,1
락앤락,115390,1
KODEX 에너지화학,117460,1
대성에너지,117580,1
KODEX 철강,117680,1
TIGER 차이나항셍25,117690,1
KODEX 건설,117700,1
우리들휴브레인,118000,1
KC코트렐,119650,1
조선선재,120030,1
코오롱인더,120110,1
코오롱인더우,120115,1
ARIRANG 코스피50,122090,1
KOSEF 통안채1년,122260,1
KODEX 레버리지,122630,1
아이마켓코리아,122900,1
TIGER 인버스,123310,1
TIGER 레버리지,123320,1
한국화장품,123690,1
SJM,123700,1
한국자산신탁,123890,1
현대퓨처넷,126560,1
대성산업,128820,1
한미약품,128940,1
인터지스,129260,1
한전산업,130660,1
TIGER 원유선물Enhanced(H),130680,1
KOSEF 단기자금,130730,1
KINDEX 삼성그룹동일가중,131890,1
KODEX 골드선물(H),132030,1
TIGER 미국나스닥100,133690,1
화인베스틸,133820,1
미원화학,134380,1
시디즈,134790,1
KBSTAR 중기우량회사채,136340,1
선진,136490,1
에스디바이오센서,137310,1
TIGER 농산물선물Enhanced(H),137610,1
마이다스 200커버드콜5%OTM,137930,1
메리츠금융지주,138040,1
KOSEF 미국달러선물,138230,1
엔에스쇼핑,138250,1
코오롱플라스틱,138490,1
TIGER 삼성그룹펀더멘털,138520,1
TIGER LG그룹+펀더멘털,138530,1
TIGER 현대차그룹+펀더멘털,138540,1
KODEX 구리선물(H),138910,1
KODEX 콩선물(H),138920,1
BNK금융지주,138930,1
DGB금융지주,139130,1
TIGER 200 건설,139220,1
TIGER 200 중공업,139230,1
